Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.00mm,1,1 uF,
C3,CP_Radial_D5.0mm_P2.00mm,1,0.01uF,
"D1, D10, D11, D2, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm,11,LED,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x01_Socket,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470,
RV1,Potentiometer_Vishay_T93YA_Vertical,1,50k,
U1,DIP-8_W7.62mm,1,NE555P,
U2,N16,1,4017,
