Designator,Mid X,Mid Y,Rotation,Layer
C1,106.794888,-102.25,0.0,top
C3,107.0,-112.0,0.0,top
D1,69.25,-51.75,0.0,top
D10,126.0,-49.75,0.0,top
D11,131.25,-54.25,0.0,top
D2,73.23,-46.75,0.0,top
D3,76.52,-39.5,0.0,top
D4,85.73,-45.0,0.0,top
D5,93.77,-43.25,0.0,top
D6,102.0,-43.25,0.0,top
D7,109.75,-45.25,0.0,top
D8,117.75,-39.25,0.0,top
D9,120.73,-45.75,0.0,top
J1,90.23,-77.25,90.0,top
J3,88.77,-71.25,270.0,top
R1,76.75,-90.25,270.0,top
R2,80.25,-55.5,0.0,top
RV1,76.6375,-103.25,270.0,top
U1,93.5,-107.75,270.0,top
U2,98.19,-89.94,90.0,top
